"Name","Subtitle","acceleration_sec","range_km","price_germany","price_uk","Drive","NumberofSeats"
"Audi e-tron 55 quattro","Battery Electric Vehicle |       86.5 kWh","5.7","365",NULL,"71500","All Wheel Drive","5"
"Aiways U5 ","Battery Electric Vehicle |       63 kWh ","7.5","335","35993",NULL,"Front Wheel Drive","5"
"Renault Twingo Electric","Battery Electric Vehicle |       21.3 kWh","12.6","130","24790",NULL,"Rear Wheel Drive","4"
"Audi e-tron S 55 quattro","Battery Electric Vehicle |       86.5 kWh","4.5","320","93800","87000","All Wheel Drive","5"
"Audi e-tron S Sportback 55 quattro","Battery Electric Vehicle |       86.5 kWh","4.5","335","96050","88700","All Wheel Drive","5"
"Volkswagen ID.4 1st","Battery Electric Vehicle |       77 kWh","8.5","410",NULL,"40800","Rear Wheel Drive","5"
"Byton M-Byte 95 kWh 2WD","Battery Electric Vehicle |       95 kWh ","7.5","400","62000","57500","Rear Wheel Drive","5"
"Fiat 500e Cabrio","Battery Electric Vehicle |       37.3 kWh ","9","245","30560","26645","Front Wheel Drive","4"
"Opel Mokka-e ","Battery Electric Vehicle |       45 kWh ","8.5","255","34110","30540","Front Wheel Drive","5"
"Skoda Enyaq iV 60","Battery Electric Vehicle |       58 kWh","8.7","330","38850","31995","Rear Wheel Drive","5"
"Skoda Enyaq iV 80","Battery Electric Vehicle |       77 kWh","8.6","420","43950","39350","Rear Wheel Drive","5"
"Skoda Enyaq iV 80X","Battery Electric Vehicle |       77 kWh","6.9","405","47000","42000","All Wheel Drive","5"
"Skoda Enyaq iV RS","Battery Electric Vehicle |       77 kWh","6.2","395","50000","45000","All Wheel Drive","5"
"Fiat 500e Hatchback 42 kWh","Battery Electric Vehicle |       37.3 kWh ","9","250","27560","23995","Front Wheel Drive","4"
"Citroen e-C4 ","Battery Electric Vehicle |       45 kWh ","9.7","250","34640","30895","Front Wheel Drive","5"
"Jaguar I-Pace EV400","Battery Electric Vehicle |       84.7 kWh","4.8","365","77300","65195","All Wheel Drive","5"
"Kia e-Soul 39 kWh","Battery Electric Vehicle |       39.2 kWh","9.9","230","33990",NULL,"Front Wheel Drive","5"
"Audi Q4 Sportback e-tron 35","Battery Electric Vehicle |       51.5 kWh","9","295","43900","42250","Rear Wheel Drive","5"
"Nissan Ariya 63kWh","Battery Electric Vehicle |       63 kWh","7.5","335","45000","40000","Front Wheel Drive","5"
"Nissan Ariya 87kWh","Battery Electric Vehicle |       87 kWh","7.6","445","50000","45000","Front Wheel Drive","5"
"Nissan Ariya e-4ORCE 63kWh","Battery Electric Vehicle |       63 kWh","5.9","325","50000","45000","All Wheel Drive","5"
"Nissan Ariya e-4ORCE 87kWh","Battery Electric Vehicle |       87 kWh","5.7","420","57500","52500","All Wheel Drive","5"
"Nissan Ariya e-4ORCE 87kWh Performance","Battery Electric Vehicle |       87 kWh","5.1","385","65000","57500","All Wheel Drive","5"
"Volkswagen ID.3 Pro Performance","Battery Electric Vehicle |       58 kWh","7.3","350","36495","29740","Rear Wheel Drive","5"
"MG MG5 EV","Battery Electric Vehicle |       48.8 kWh","7.7","295",NULL,"25095","Front Wheel Drive","5"
"Volkswagen ID.4 Pro Performance","Battery Electric Vehicle |       77 kWh","8.5","410","44450","41570","Rear Wheel Drive","5"
"Mercedes EQV 300 Extra-Long","Battery Electric Vehicle |       90 kWh","12.1","320","72281",NULL,"Front Wheel Drive","7"
"Lucid Air Grand Touring","Battery Electric Vehicle |       110 kWh ","3.2","660","140000","125000","All Wheel Drive","5"
"Lucid Air Touring","Battery Electric Vehicle |       85 kWh ","3.4","530","95000","90000","All Wheel Drive","5"
"Lucid Air Pure","Battery Electric Vehicle |       85 kWh ","4.2","540","80000","70000","Rear Wheel Drive","5"
"Dacia Spring Electric","Battery Electric Vehicle |       26.8 kWh ","15","170","20490",NULL,"Front Wheel Drive","4"
"Tesla Model 3 Standard Range Plus LFP","Battery Electric Vehicle |       51 kWh ","5.6","340","43560","40990","Rear Wheel Drive","5"
"Tesla Model 3 Long Range Dual Motor","Battery Electric Vehicle |       70 kWh ","4.4","455",NULL,"48490","All Wheel Drive","5"
"Tesla Model 3 Performance","Battery Electric Vehicle |       76 kWh ","3.3","470","58560","59990","All Wheel Drive","5"
"Fiat 500e Hatchback 24 kWh","Battery Electric Vehicle |       23.8 kWh ","9.5","165","23560","20495","Front Wheel Drive","4"
"Fiat 500e 3+1","Battery Electric Vehicle |       37.3 kWh ","9","245","29560",NULL,"Front Wheel Drive","4"
"Mercedes EQC 400 4MATIC","Battery Electric Vehicle |       80 kWh","5.1","370","66069","65720","All Wheel Drive","5"
"Kia e-Niro 64 kWh","Battery Electric Vehicle |       64 kWh","7.8","370","39090","32445","Front Wheel Drive","5"
